,PostalCode,Subdistricts,Regency,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
1,10120,KEBON KELAPA,JAKARTA PUSAT,Chinese Restaurant,Seafood Restaurant,Noodle House,Asian Restaurant,Indonesian Meatball Place,Beer Garden,Steakhouse,Snack Place,BBQ Joint,Dessert Shop,3
2,10130,PETOJO UTARA,JAKARTA PUSAT,Noodle House,Donut Shop,Fast Food Restaurant,Restaurant,Asian Restaurant,Coffee Shop,Indonesian Restaurant,Japanese Restaurant,Chinese Restaurant,Bed & Breakfast,3
3,10140,DURI PULO,JAKARTA PUSAT,Soup Place,Indonesian Restaurant,Café,Food Truck,Pizza Place,Noodle House,Chinese Restaurant,Donut Shop,Indian Restaurant,Restaurant,3
4,10150,CIDENG,JAKARTA PUSAT,Noodle House,Indonesian Restaurant,Food Truck,Soup Place,Pizza Place,Donut Shop,Café,Seafood Restaurant,Bakery,Restaurant,3
5,10160,PETOJO SELATAN,JAKARTA PUSAT,Indonesian Restaurant,Food Court,Food Truck,BBQ Joint,Restaurant,Noodle House,Coffee Shop,Chinese Restaurant,Dumpling Restaurant,Donut Shop,3
7,10220,KARET TENGSIN,JAKARTA PUSAT,Japanese Restaurant,Coffee Shop,Indonesian Restaurant,Asian Restaurant,Restaurant,Wine Bar,Sushi Restaurant,Café,Pizza Place,BBQ Joint,3
9,10240,KEBON KACANG,JAKARTA PUSAT,Coffee Shop,Chinese Restaurant,Japanese Restaurant,Restaurant,Asian Restaurant,Sushi Restaurant,Steakhouse,Café,Pizza Place,Dessert Shop,3
12,10270,GELORA,JAKARTA PUSAT,Café,Japanese Restaurant,Restaurant,Coffee Shop,Bakery,Indonesian Restaurant,Chinese Restaurant,Wine Bar,Sushi Restaurant,American Restaurant,3
13,10310,MENTENG,JAKARTA PUSAT,Coffee Shop,Steakhouse,Bakery,Restaurant,Indonesian Restaurant,Italian Restaurant,Fast Food Restaurant,Café,Chinese Restaurant,Wine Bar,3
15,10330,CIKINI,JAKARTA PUSAT,Indonesian Restaurant,Café,Bakery,Coffee Shop,Noodle House,Betawinese Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Asian Restaurant,Dessert Shop,3
16,10340,KEBON SIRIH,JAKARTA PUSAT,Indonesian Restaurant,Coffee Shop,Japanese Restaurant,Café,Snack Place,Seafood Restaurant,Asian Restaurant,Beer Garden,Donut Shop,Chinese Restaurant,3
18,10410,SENEN,JAKARTA PUSAT,Coffee Shop,Japanese Restaurant,Asian Restaurant,Indonesian Restaurant,American Restaurant,Soup Place,Italian Restaurant,Seafood Restaurant,Food Truck,Indonesian Meatball Place,3
20,10430,KENARI,JAKARTA PUSAT,Fried Chicken Joint,Restaurant,Fast Food Restaurant,Donut Shop,Indonesian Restaurant,Coffee Shop,Food Court,Food Truck,Beer Garden,Betawinese Restaurant,3
21,10440,PASEBAN,JAKARTA PUSAT,Indonesian Restaurant,Asian Restaurant,Fast Food Restaurant,Fried Chicken Joint,Restaurant,Coffee Shop,Café,Noodle House,Food Court,Steakhouse,3
24,10510,CEMPAKA PUTIH TIMUR,JAKARTA PUSAT,Fast Food Restaurant,Asian Restaurant,Restaurant,Indonesian Restaurant,Coffee Shop,Café,Food Court,Noodle House,Fried Chicken Joint,Betawinese Restaurant,3
30,10570,RAWASARI,JAKARTA PUSAT,Food Truck,Seafood Restaurant,Restaurant,Pizza Place,Indonesian Meatball Place,Middle Eastern Restaurant,Korean Restaurant,Japanese Restaurant,Wine Bar,Bistro,3
32,10620,KEMAYORAN,JAKARTA PUSAT,Food Court,Food Truck,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,Chinese Restaurant,3
33,10630,KEBON KOSONG,JAKARTA PUSAT,Indonesian Meatball Place,Food Truck,Bakery,Seafood Restaurant,Cupcake Shop,Food Court,Coffee Shop,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,3
37,10650,SERDANG,JAKARTA PUSAT,Pizza Place,Noodle House,Fast Food Restaurant,Asian Restaurant,BBQ Joint,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
38,10650,UTAN PANJANG,JAKARTA PUSAT,Pizza Place,Noodle House,Fast Food Restaurant,Asian Restaurant,BBQ Joint,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
39,10710,PASAR BARU,JAKARTA PUSAT,Wine Bar,Coffee Shop,Donut Shop,Indonesian Restaurant,Italian Restaurant,Japanese Restaurant,Chinese Restaurant,Bakery,Beer Garden,Betawinese Restaurant,3
40,10720,GUNUNG SAHARI UTARA,JAKARTA PUSAT,Restaurant,Coffee Shop,Chinese Restaurant,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
41,10730,MANGGA DUA SELATAN,JAKARTA PUSAT,Chinese Restaurant,Dessert Shop,Noodle House,Fast Food Restaurant,Asian Restaurant,BBQ Joint,Donut Shop,Food Truck,Café,Coffee Shop,3
42,10740,KARANG ANYAR,JAKARTA PUSAT,Asian Restaurant,BBQ Joint,Indonesian Restaurant,Food Truck,Salad Place,Restaurant,Noodle House,Wine Bar,Chinese Restaurant,Donut Shop,3
43,10750,KARTINI,JAKARTA PUSAT,Café,Chinese Restaurant,Cupcake Shop,Food Truck,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Coffee Shop,3
45,11120,GLODOK,JAKARTA BARAT,Noodle House,Chinese Restaurant,Indonesian Restaurant,Food Truck,Coffee Shop,Asian Restaurant,Dumpling Restaurant,Dessert Shop,Food Court,Fast Food Restaurant,3
46,11130,KEAGUNGAN,JAKARTA BARAT,Chinese Restaurant,Asian Restaurant,Noodle House,Coffee Shop,Steakhouse,Soup Place,Bakery,Restaurant,Fast Food Restaurant,Food Truck,3
47,11140,KRUKUT,JAKARTA BARAT,Chinese Restaurant,Noodle House,Food Truck,Asian Restaurant,Bakery,Fast Food Restaurant,Indonesian Restaurant,Donut Shop,Steakhouse,Bistro,3
48,11150,TAMAN SARI,JAKARTA BARAT,Chinese Restaurant,Noodle House,Asian Restaurant,Food Truck,Coffee Shop,Soup Place,Donut Shop,Dessert Shop,Indonesian Restaurant,Fast Food Restaurant,3
49,11160,MAPHAR,JAKARTA BARAT,Chinese Restaurant,Noodle House,Food Truck,Asian Restaurant,Bakery,Bistro,Indonesian Restaurant,Japanese Restaurant,Korean Restaurant,Fast Food Restaurant,3
50,11170,TANGKI,JAKARTA BARAT,Noodle House,Food Truck,Asian Restaurant,BBQ Joint,Chinese Restaurant,Indonesian Restaurant,Donut Shop,Dessert Shop,Restaurant,Fast Food Restaurant,3
51,11180,MANGGA BESAR,JAKARTA BARAT,Noodle House,Chinese Restaurant,Food Truck,Asian Restaurant,Indonesian Restaurant,Soup Place,Bakery,Dim Sum Restaurant,Fast Food Restaurant,Café,3
55,11240,PEKOJAN,JAKARTA BARAT,Chinese Restaurant,Noodle House,Food Truck,Steakhouse,Asian Restaurant,Donut Shop,Japanese Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,3
56,11250,JEMBATAN LIMA,JAKARTA BARAT,Food Truck,Wine Bar,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,Chinese Restaurant,3
57,11260,KRENDANG,JAKARTA BARAT,Indonesian Meatball Place,Beer Garden,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
61,11320,JEMBATAN BESI,JAKARTA BARAT,Fast Food Restaurant,Chinese Restaurant,Asian Restaurant,Seafood Restaurant,Indonesian Restaurant,Coffee Shop,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
64,11420,KOTA BAMBU SELATAN,JAKARTA BARAT,Pizza Place,Food Truck,Asian Restaurant,Donut Shop,Indonesian Meatball Place,Noodle House,Chinese Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,3
65,11420,KOTA BAMBU UTARA,JAKARTA BARAT,Pizza Place,Food Truck,Asian Restaurant,Donut Shop,Indonesian Meatball Place,Noodle House,Chinese Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,3
66,11430,JATIPULO,JAKARTA BARAT,Donut Shop,Indonesian Meatball Place,Italian Restaurant,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
67,11440,TOMANG,JAKARTA BARAT,Coffee Shop,Indonesian Restaurant,Chinese Restaurant,Dessert Shop,Noodle House,American Restaurant,Food Truck,Soup Place,Snack Place,Italian Restaurant,3
68,11450,GROGOL,JAKARTA BARAT,Noodle House,Food Court,Restaurant,Fried Chicken Joint,Chinese Restaurant,Steakhouse,Asian Restaurant,Snack Place,Dessert Shop,Indonesian Meatball Place,3
69,11460,JELAMBAR,JAKARTA BARAT,Chinese Restaurant,Noodle House,Pizza Place,Indonesian Restaurant,Coffee Shop,Indonesian Meatball Place,Japanese Restaurant,Dim Sum Restaurant,Fried Chicken Joint,Food Truck,3
70,11460,JELAMBAR BARU,JAKARTA BARAT,Chinese Restaurant,Noodle House,Indonesian Restaurant,Snack Place,Seafood Restaurant,Bakery,Coffee Shop,Pizza Place,Indonesian Meatball Place,Wine Bar,3
