,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,GAMBIR,-6.17603923780416,106.826920197996,National Monument Park,-6.175331475774555,106.82704738836857,Park
1,GAMBIR,-6.17603923780416,106.826920197996,Jogging Track MONAS,-6.175537457887898,106.82713381191877,Track
2,GAMBIR,-6.17603923780416,106.826920197996,Museum Nasional Indonesia,-6.176352995486379,106.82282995928873,Museum
3,GAMBIR,-6.17603923780416,106.826920197996,Lapangan Silang Monas,-6.177649259365623,106.8268514951105,Plaza
4,GAMBIR,-6.17603923780416,106.826920197996,Taman Merah Putih,-6.175396859946711,106.82716502043417,Skate Park
5,GAMBIR,-6.17603923780416,106.826920197996,Starbucks,-6.177147420420788,106.83081800657436,Coffee Shop
6,GAMBIR,-6.17603923780416,106.826920197996,Stasiun Gambir,-6.177034896896382,106.83076939252561,Train Station
7,GAMBIR,-6.17603923780416,106.826920197996,Taman Air Mancur Monas,-6.175800093672252,106.82601606988678,Park
8,GAMBIR,-6.17603923780416,106.826920197996,Sate Senayan,-6.176698757745575,106.82901209190598,Indonesian Restaurant
9,GAMBIR,-6.17603923780416,106.826920197996,Bakmi GM,-6.177535992897565,106.83101667705436,Noodle House
10,GAMBIR,-6.17603923780416,106.826920197996,Ropita Aneka Rasa,-6.177791880258232,106.8309537658411,Food Truck
11,GAMBIR,-6.17603923780416,106.826920197996,"Monas ""Jak-Japan Matsuri""",-6.1774894045250965,106.82700129582199,Performing Arts Venue
12,GAMBIR,-6.17603923780416,106.826920197996,McDonald’s,-6.17729401854819,106.83088969610102,Fast Food Restaurant
13,GAMBIR,-6.17603923780416,106.826920197996,Yogyakarta,-6.179062206182746,106.8244546972331,Arcade
14,GAMBIR,-6.17603923780416,106.826920197996,Indomaret,-6.175745057009567,106.83057925770143,Convenience Store
15,GAMBIR,-6.17603923780416,106.826920197996,KA Argo Parahyangan,-6.1767494729802035,106.83073129677261,Train
16,GAMBIR,-6.17603923780416,106.826920197996,Rotiboy Bakeshoppe,-6.177046291673755,106.83079183101654,Cupcake Shop
17,GAMBIR,-6.17603923780416,106.826920197996,Lenggang Jakarta,-6.179740117014236,106.82537135733637,Park
18,GAMBIR,-6.17603923780416,106.826920197996,Pagi Sore Masakan Padang,-6.173674062992893,106.82848778518601,Indonesian Restaurant
19,GAMBIR,-6.17603923780416,106.826920197996,Car Free Day @Monumen Nasional,-6.177638136892822,106.82579713137342,Track Stadium
20,GAMBIR,-6.17603923780416,106.826920197996,Monasco Cirquit,-6.1731826375811725,106.82913884755925,Racetrack
21,GAMBIR,-6.17603923780416,106.826920197996,Monas track,-6.17309746735254,106.82893270963515,Racetrack
22,GAMBIR,-6.17603923780416,106.826920197996,Lapangan Futsal Monas,-6.174619614146751,106.82872977275183,Soccer Field
23,GAMBIR,-6.17603923780416,106.826920197996,Soto Kriuk,-6.1772414873325525,106.83093340795934,Soup Place
24,GAMBIR,-6.17603923780416,106.826920197996,Ministry of Home Affairs 9th floor,-6.173561509964694,106.82749679119046,Office
25,GAMBIR,-6.17603923780416,106.826920197996,Taman Godfather 21,-6.1773179331843355,106.8242911592571,Park
26,GAMBIR,-6.17603923780416,106.826920197996,Silang Monas Timur,-6.1730889883002265,106.82924151420593,Park
27,GAMBIR,-6.17603923780416,106.826920197996,HokBen,-6.17730204023125,106.83093692030532,Japanese Restaurant
28,GAMBIR,-6.17603923780416,106.826920197996,Solaria,-6.1772675345539465,106.8308712340322,Indonesian Restaurant
29,GAMBIR,-6.17603923780416,106.826920197996,KA Purwojaya,-6.176492662807432,106.8308731024971,Train
30,GAMBIR,-6.17603923780416,106.826920197996,KFC,-6.177113418538003,106.83081960132597,Fast Food Restaurant
31,KEBON KELAPA,-6.1639598,106.8266664,Kwang Tung,-6.162311,106.826552,Chinese Restaurant
32,KEBON KELAPA,-6.1639598,106.8266664,Pondok Laguna Resto,-6.162921050959813,106.82527859363547,Seafood Restaurant
33,KEBON KELAPA,-6.1639598,106.8266664,Chang Tien Restaurant,-6.1630642450392195,106.82574692371013,Asian Restaurant
34,KEBON KELAPA,-6.1639598,106.8266664,Luminor Hotel,-6.16413642428213,106.82595309028218,Hotel
35,KEBON KELAPA,-6.1639598,106.8266664,Li Yen Restaurant,-6.163167296829535,106.82472904799084,Chinese Restaurant
36,KEBON KELAPA,-6.1639598,106.8266664,Ikan Bakar Cianjur,-6.163171907581169,106.8248076628024,Sundanese Restaurant
