MENTENG,Restaurant,9.1
MENTENG,Steakhouse,8.9
GELORA,American Restaurant,8.9
KEBON KACANG,Dessert Shop,8.7
PEGANGSAAN,Restaurant,8.7
KEBON KACANG,Sushi Restaurant,8.65
MENTENG,Chinese Restaurant,8.5
KEBON KACANG,Vietnamese Restaurant,8.5
KARET TENGSIN,Steakhouse,8.4
KEBON KACANG,Indian Restaurant,8.4
KEBON KACANG,Coffee Shop,8.357142857142858
PETAMBURAN,Food Truck,8.3
KEBON KACANG,Snack Place,8.3
KARET TENGSIN,Dim Sum Restaurant,8.3
KEBON KELAPA,Seafood Restaurant,8.233333333333334
PEGANGSAAN,Coffee Shop,8.233333333333333
KEBON KACANG,Bakery,8.2
PEGANGSAAN,Middle Eastern Restaurant,8.2
PETOJO UTARA,Seafood Restaurant,8.2
KEBON KACANG,Chinese Restaurant,8.100000000000001
KARET TENGSIN,Middle Eastern Restaurant,8.1
KEBON KELAPA,Steakhouse,8.1
DURI PULO,Soup Place,8.066666666666668
KEBON KACANG,Restaurant,8.0
MENTENG,Indonesian Restaurant,8.0
KEBON KACANG,Pizza Place,7.95
MENTENG,Bakery,7.9
KEBON KACANG,Indonesian Restaurant,7.9
KEBON KACANG,Seafood Restaurant,7.9
KEBON KACANG,Steakhouse,7.9
GELORA,Indonesian Restaurant,7.9
GELORA,Sushi Restaurant,7.9
GELORA,Bakery,7.9
KEBON KELAPA,Noodle House,7.866666666666667
GELORA,Restaurant,7.866666666666667
CIDENG,Soup Place,7.85
KEBON KELAPA,Asian Restaurant,7.85
GELORA,Japanese Restaurant,7.833333333333333
GELORA,Café,7.825
MENTENG,Coffee Shop,7.800000000000001
PETAMBURAN,Middle Eastern Restaurant,7.8
PETOJO UTARA,Pizza Place,7.8
GELORA,Wine Bar,7.8
MENTENG,Italian Restaurant,7.8
MENTENG,Fast Food Restaurant,7.8
GELORA,Coffee Shop,7.8
KEBON KACANG,Salad Place,7.8
BENDUNGAN HILIR,Restaurant,7.8
KARET TENGSIN,Coffee Shop,7.787499999999999
KEBON KELAPA,Chinese Restaurant,7.783333333333334
KEBON KELAPA,Indonesian Meatball Place,7.7
GELORA,Dessert Shop,7.7
KEBON KACANG,Korean Restaurant,7.7
GELORA,Chinese Restaurant,7.699999999999999
KEBON KACANG,Japanese Restaurant,7.675000000000001
PEGANGSAAN,Dessert Shop,7.6
PEGANGSAAN,Fast Food Restaurant,7.6
KARET TENGSIN,Korean Restaurant,7.6
BENDUNGAN HILIR,Indonesian Restaurant,7.575
PEGANGSAAN,Indonesian Restaurant,7.557142857142856
KARET TENGSIN,Sushi Restaurant,7.55
DURI PULO,Coffee Shop,7.5
KEBON KACANG,Café,7.5
KARET TENGSIN,Italian Restaurant,7.5
KEBON KELAPA,Snack Place,7.5
CIDENG,Coffee Shop,7.5
PETOJO UTARA,Coffee Shop,7.466666666666666
KARET TENGSIN,Restaurant,7.449999999999999
KEBON KELAPA,Beer Garden,7.4
PEGANGSAAN,Café,7.4
GAMBIR,Coffee Shop,7.3
KARET TENGSIN,BBQ Joint,7.3
KARET TENGSIN,Bistro,7.3
PETOJO UTARA,Restaurant,7.3
BENDUNGAN HILIR,Acehnese Restaurant,7.3
KEBON KELAPA,BBQ Joint,7.3
KEBON KELAPA,Dessert Shop,7.3
CIDENG,Indonesian Restaurant,7.266666666666667
KARET TENGSIN,Pizza Place,7.25
PETOJO UTARA,Indonesian Restaurant,7.2
MENTENG,Café,7.2
KEBON KACANG,Bed & Breakfast,7.2
KARET TENGSIN,Fried Chicken Joint,7.2
KAMPUNG BALI,Bed & Breakfast,7.2
PETOJO UTARA,Asian Restaurant,7.166666666666667
KARET TENGSIN,Indonesian Restaurant,7.15
KEBON KACANG,Asian Restaurant,7.1
CIDENG,Restaurant,7.1
DURI PULO,Restaurant,7.1
KAMPUNG BALI,Asian Restaurant,7.1
KAMPUNG BALI,Indonesian Restaurant,7.1
BENDUNGAN HILIR,Pizza Place,7.0
PETAMBURAN,Indonesian Meatball Place,7.0
KAMPUNG BALI,Café,7.0
PETOJO UTARA,Bed & Breakfast,7.0
KARET TENGSIN,Seafood Restaurant,7.0
PETAMBURAN,Coffee Shop,7.0
KEBON MELATI,Indonesian Restaurant,7.0
PETOJO SELATAN,Indonesian Restaurant,6.949999999999999
PETOJO UTARA,Fast Food Restaurant,6.900000000000001
PETAMBURAN,Asian Restaurant,6.9
BENDUNGAN HILIR,Soup Place,6.9
GAMBIR,Noodle House,6.9
KAMPUNG BALI,Food Truck,6.9
BENDUNGAN HILIR,Bistro,6.9
DURI PULO,Food Truck,6.85
KARET TENGSIN,Japanese Restaurant,6.818181818181818
CIDENG,Food Truck,6.800000000000001
PETOJO UTARA,Noodle House,6.8
BENDUNGAN HILIR,Food Truck,6.8
CIDENG,Pizza Place,6.75
DURI PULO,Chinese Restaurant,6.75
DURI PULO,Pizza Place,6.75
KARET TENGSIN,Café,6.75
KARET TENGSIN,Wine Bar,6.75
PETAMBURAN,Indonesian Restaurant,6.75
BENDUNGAN HILIR,Coffee Shop,6.7
CIDENG,Bakery,6.6
PEGANGSAAN,Snack Place,6.6
